age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
22,Private,161029,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
37,Private,101899,Masters,14,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K
23,Private,104619,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Male,2,0,40,United-States,<=50K
39,Local-gov,137304,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7526,0,49,United-States,>50K
49,Federal-gov,247443,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
21,State-gov,101981,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,<=50K
66,Local-gov,107855,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,>50K
17,Private,291870,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,23,United-States,<=50K
24,Private,192402,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,<=50K
36,Private,210787,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,46,United-States,<=50K
37,Private,96178,Masters,14,Divorced,Prof-specialty,Unmarried,White,Male,1,0,40,United-States,<=50K
30,Private,126356,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
23,State-gov,80124,Some-college,10,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
45,Private,243899,Masters,15,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
53,Private,201181,Bachelors,13,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,Local-gov,117734,HS-grad,9,Divorced,?,Not-in-family,White,Female,2,0,40,United-States,<=50K
31,Private,218539,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,37,Mexico,<=50K
36,Private,200666,Bachelors,13,Divorced,Other-service,Unmarried,White,Male,2,0,40,United-States,<=50K
20,Private,216441,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,10,United-States,<=50K
34,Private,260302,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
29,Local-gov,105314,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Female,2,0,40,United-States,<=50K
25,Private,126692,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
25,Private,117112,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,1858,40,United-States,<=50K
45,Self-emp-inc,104800,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4449,0,64,United-States,>50K
33,Private,122993,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
32,Local-gov,115873,Masters,14,Married-civ-spouse,?,Husband,White,Male,1,0,40,United-States,<=50K
33,Private,112717,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,Private,145731,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1847,40,United-States,<=50K
55,Self-emp-not-inc,155685,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
20,Private,170294,HS-grad,9,Never-married,Sales,Own-child,White,Female,2,1641,40,United-States,<=50K
29,Local-gov,160248,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,3,1847,40,United-States,<=50K
35,Private,210062,HS-grad,9,Divorced,Handlers-cleaners,Other-relative,White,Male,0,0,40,Mexico,<=50K
40,Self-emp-inc,72510,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,59,United-States,<=50K
17,State-gov,227370,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,24,United-States,<=50K
24,Private,34606,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,233072,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,3,0,44,United-States,<=50K
45,Federal-gov,39692,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Self-emp-not-inc,266234,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,49,United-States,<=50K
65,Private,158582,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,2,0,40,United-States,<=50K
20,Private,48677,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,Private,169180,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,43,United-States,<=50K
41,Private,110723,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
27,Self-emp-inc,193531,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,58,United-States,<=50K
20,Private,274908,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
29,Private,206553,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Self-emp-not-inc,260145,11th,7,Divorced,Farming-fishing,Own-child,White,Male,0,0,38,United-States,<=50K
54,Private,187716,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,1,0,14,United-States,<=50K
35,Private,107664,11th,11,Married-civ-spouse,Other-service,Other-relative,White,Female,3,0,40,United-States,<=50K
25,Private,87683,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,2,0,40,United-States,<=50K
31,Federal-gov,258741,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
57,Private,106465,10th,6,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,22,United-States,<=50K
37,Private,118691,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,India,<=50K
44,Private,109653,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,40,United-States,>50K
57,Private,278541,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
56,Local-gov,169600,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Private,183423,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,92237,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,85605,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Other,Female,18,1753,21,United-States,<=50K
35,Private,65998,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,44,United-States,<=50K
58,Private,71959,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,3744,0,40,United-States,<=50K
28,Private,283515,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,2,0,44,United-States,<=50K
26,Private,81677,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1670,61,United-States,<=50K
35,Private,184161,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,46,United-States,>50K
34,Private,232212,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
23,Private,129083,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,22,United-States,<=50K
21,Local-gov,131309,Some-college,10,Never-married,Other-service,Own-child,White,Female,2,0,40,United-States,<=50K
31,Private,126507,9th,5,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,24,0,35,United-States,<=50K
27,Private,50086,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
18,Private,264653,HS-grad,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,21,United-States,<=50K
44,Self-emp-not-inc,98756,Assoc-acdm,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,250520,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,4077,0,40,United-States,<=50K
20,Private,185022,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,19,United-States,<=50K
21,Private,312087,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,1,0,40,United-States,<=50K
29,Private,224976,1st-4th,11,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,2,0,30,United-States,<=50K
59,Private,208826,10th,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,22,United-States,<=50K
48,Private,88921,Prof-school,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,7754,0,40,United-States,>50K
24,?,194322,HS-grad,9,Never-married,?,Unmarried,White,Female,0,0,36,United-States,<=50K
20,Private,155966,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,18,United-States,<=50K
42,Local-gov,108019,Masters,13,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
54,Private,145646,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,>50K
24,?,248623,Masters,14,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,1,0,40,United-States,<=50K
31,Self-emp-not-inc,50735,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,2,0,45,United-States,<=50K
38,Federal-gov,116019,10th,6,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,0,0,40,India,<=50K
30,Private,117587,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,1,0,40,United-States,<=50K
21,Private,240972,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,186208,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1651,40,United-States,>50K
24,Private,124023,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,3725,0,40,United-States,<=50K
60,Private,104898,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
44,Self-emp-not-inc,175813,Assoc-voc,11,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,55,United-States,<=50K
59,Private,130901,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
63,Self-emp-not-inc,53434,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,216116,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,19,United-States,<=50K
29,Private,52495,11th,7,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,36,United-States,<=50K
34,Private,33269,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K
21,Private,225734,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
69,?,51778,9th,14,Married-civ-spouse,?,Husband,White,Male,0,0,9,United-States,<=50K
52,Self-emp-not-inc,311936,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,49,United-States,<=50K
45,Private,112051,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
60,?,221108,7th-8th,6,Divorced,?,Unmarried,Black,Male,0,0,40,United-States,<=50K
54,Private,127696,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,1,0,11,United-States,<=50K
41,Private,109366,Bachelors,13,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
54,Private,43192,Prof-school,6,Divorced,Sales,Not-in-family,White,Female,2,0,46,United-States,<=50K
58,Self-emp-not-inc,49092,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,49,United-States,<=50K
25,Private,286398,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K
52,Private,96108,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,3,0,50,United-States,>50K
29,Private,192640,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
30,Private,245363,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3,0,50,United-States,>50K
26,Private,107936,Some-college,10,Never-married,Other-service,Own-child,White,Male,2,0,10,United-States,<=50K
36,Private,168244,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,Private,262681,Assoc-voc,11,Married-civ-spouse,Sales,Wife,Black,Female,1,0,40,United-States,>50K
21,Private,32321,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,175574,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
28,Private,90148,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
33,Private,132089,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,269839,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Private,107689,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,1,0,40,United-States,<=50K
51,Self-emp-not-inc,75725,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,<=50K
27,Private,201852,1st-4th,1,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,Mexico,<=50K
31,Private,35886,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,3910,0,43,United-States,<=50K
61,Private,216085,HS-grad,9,Widowed,Adm-clerical,Unmarried,Black,Female,2,0,40,United-States,<=50K
33,Self-emp-inc,279153,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,61,United-States,<=50K
40,Local-gov,227521,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,56,United-States,<=50K
20,Private,246344,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,1,0,19,United-States,<=50K
47,Local-gov,174241,Some-college,10,Married-civ-spouse,?,Husband,White,Male,7524,0,40,United-States,>50K
42,Private,78761,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,1,0,40,United-States,>50K
48,Private,240373,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
39,Private,242485,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,>50K
28,Private,40314,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,49,United-States,<=50K
30,Private,236979,Bachelors,10,Never-married,Exec-managerial,Own-child,Black,Female,0,0,40,United-States,<=50K
35,Self-emp-not-inc,76401,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
60,Self-emp-not-inc,210194,5th-6th,4,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
48,Federal-gov,276183,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
43,Private,101703,11th,7,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
29,Private,275203,1st-4th,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,35,Mexico,<=50K
49,Private,352792,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
17,Private,252145,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,18,United-States,<=50K
45,Federal-gov,89585,Prof-school,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Self-emp-inc,108223,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,8284,0,59,United-States,>50K
34,Private,128950,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,116209,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
59,Private,217391,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,3,0,40,United-States,<=50K
38,Private,235637,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
18,Private,218223,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,22,United-States,<=50K
25,Private,110184,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,37,United-States,<=50K
19,Private,159734,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,12,United-States,<=50K
60,Local-gov,81574,7th-8th,4,Married-civ-spouse,?,Wife,White,Female,2,0,7,United-States,<=50K
53,?,171915,Assoc-voc,11,Never-married,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Federal-gov,130892,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Male,1,1865,40,United-States,<=50K
54,Private,107900,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,2,0,40,United-States,<=50K
40,Federal-gov,130054,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
29,Private,25651,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,49,United-States,<=50K
54,Local-gov,155776,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,123978,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
19,?,259561,Some-college,10,Never-married,?,Own-child,Black,Male,0,0,19,United-States,<=50K
35,Private,268826,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,31,0,40,United-States,<=50K
31,Private,344470,12th,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
43,Local-gov,256039,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
31,?,121126,10th,6,Never-married,?,Own-child,White,Male,1,0,40,United-States,<=50K
62,Private,121487,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3,0,59,United-States,<=50K
36,?,115358,Assoc-voc,11,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States,<=50K
32,Private,227474,Some-college,10,Divorced,Craft-repair,Not-in-family,Black,Male,1,0,40,United-States,<=50K
31,Private,266186,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,4,0,40,United-States,<=50K
37,Private,41786,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,1,0,50,United-States,>50K
38,Private,65274,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
50,Local-gov,53025,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
51,Private,221744,Bachelors,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,46,United-States,>50K
43,Private,77215,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,59,United-States,>50K
33,Private,48336,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
35,Private,154675,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,3144,0,40,United-States,<=50K
21,Self-emp-inc,23067,12th,16,Never-married,Prof-specialty,Own-child,White,Male,0,0,60,United-States,<=50K
50,Local-gov,235293,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,2,0,40,United-States,<=50K
33,Private,257164,7th-8th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,56,United-States,<=50K
35,Private,110232,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
41,State-gov,94493,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,1,0,40,United-States,<=50K
32,Private,116609,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
28,Private,99677,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,180809,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,1,0,40,United-States,<=50K
26,Private,240153,HS-grad,9,Divorced,Sales,Not-in-family,Black,Female,0,0,40,United-States,<=50K
68,Private,45704,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,8,United-States,<=50K
19,Private,216223,11th,7,Never-married,Priv-house-serv,Own-child,Black,Female,1,0,21,United-States,<=50K
36,Self-emp-inc,99467,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,59,United-States,>50K
26,Federal-gov,104131,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,0,40,United-States,<=50K
45,Private,102339,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
52,Private,141536,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,36,United-States,<=50K
35,Private,31249,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,<=50K
37,Private,152188,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,121076,Some-college,10,Never-married,Sales,Not-in-family,White,Female,3,0,20,United-States,<=50K
55,Local-gov,218410,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,34,United-States,<=50K
19,Federal-gov,253407,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
39,Private,23446,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3,0,40,United-States,<=50K
44,Self-emp-inc,125205,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7283,0,58,United-States,>50K
27,Private,259181,Bachelors,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Female,0,0,40,United-States,<=50K
35,Private,297260,Bachelors,13,Divorced,Adm-clerical,Unmarried,Black,Male,0,0,40,United-States,<=50K
55,Private,254207,10th,4,Married-civ-spouse,Other-service,Husband,Black,Male,2,0,40,United-States,<=50K
34,Private,298695,12th,8,Never-married,Handlers-cleaners,Not-in-family,White,Male,1,0,50,United-States,<=50K
39,Private,91409,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K
